序号,代码,名称,最新价,10日涨跌幅,10日主力净流入-净额,10日主力净流入-净占比,10日超大单净流入-净额,10日超大单净流入-净占比,10日大单净流入-净额,10日大单净流入-净占比,10日中单净流入-净额,10日中单净流入-净占比,10日小单净流入-净额,10日小单净流入-净占比
1,301327,华宝新能,62.15,6.7,33442528.0,4.17,1486384.0,0.19,31956144.0,3.98,30497030.0,3.8,-63939559.0,-7.97
2,002364,中恒电气,6.35,3.76,25483447.0,2.52,4830742.0,0.48,20652705.0,2.05,38301547.0,3.79,-63784994.0,-6.32
3,002227,奥 特 迅,9.63,3.22,19537182.0,2.17,31029775.0,3.45,-11492593.0,-1.28,-25788657.0,-2.86,6251479.0,0.69
4,688551,科威尔,50.17,-0.2,6750615.0,1.73,-3800296.0,-0.97,10550911.0,2.71,10544462.0,2.7,-17295079.0,-4.43
5,301386,未来电器,20.54,-2.7,6202781.0,1.72,13981980.0,3.87,-7779199.0,-2.15,-12249877.0,-3.39,6047098.0,1.67
6,600405,动力源,4.62,1.54,4594648.0,0.35,18937945.0,1.46,-14343297.0,-1.11,-7981700.0,-0.62,3387054.0,0.26
7,688719,爱科赛博,45.58,-18.07,2836653.0,0.49,-5079396.0,-0.89,7916049.0,1.38,38728474.0,6.76,-41565128.0,-7.25
8,002534,西子洁能,10.2,-3.68,-8440374.0,-2.19,-5845314.0,-1.52,-2595060.0,-0.67,574783.0,0.15,7865593.0,2.04
9,600202,哈空调,4.85,3.63,-9543101.0,-2.65,3647791.0,1.01,-13190892.0,-3.66,-4722220.0,-1.31,14265322.0,3.96
10,300153,科泰电源,6.34,0.32,-10854312.0,-3.1,-4856568.0,-1.39,-5997744.0,-1.71,-1746464.0,-0.5,12600778.0,3.6
11,300820,英杰电气,51.39,-3.62,-11160778.0,-0.52,19056898.0,0.89,-30217676.0,-1.42,-4015699.0,-0.19,15176470.0,0.71
12,002665,首航高科,2.14,-5.73,-17277696.0,-1.89,1591933.0,0.17,-18869629.0,-2.07,-21975534.0,-2.41,39253229.0,4.3
13,300713,英可瑞,14.19,0.14,-20422540.0,-2.49,-214656.0,-0.03,-20207884.0,-2.47,-18522662.0,-2.26,38945201.0,4.75
14,002851,麦格米特,23.95,-4.16,-30083971.0,-3.62,-34959941.0,-4.21,4875970.0,0.59,-32218286.0,-3.88,62302260.0,7.5
15,002255,海陆重工,5.01,-0.79,-36337306.0,-3.62,-5788701.0,-0.58,-30548605.0,-3.04,-7546075.0,-0.75,43883382.0,4.37
16,300491,通合科技,18.35,-6.71,-39115741.0,-4.57,6019040.0,0.7,-45134781.0,-5.27,-23021325.0,-2.69,62137068.0,7.26
17,300376,易事特,5.93,-4.82,-42394110.0,-4.62,-9046522.0,-0.99,-33347588.0,-3.63,-19455092.0,-2.12,61849199.0,6.74
18,600475,华光环能,11.07,0.09,-44311766.0,-3.72,-10737432.0,-0.9,-33574334.0,-2.82,-5336110.0,-0.45,49647877.0,4.17
19,300105,龙源技术,5.96,0.68,-46746405.0,-8.73,-5584056.0,-1.04,-41162349.0,-7.69,-6563441.0,-1.23,53309848.0,9.96
20,300593,新雷能,9.91,-9.99,-53272777.0,-4.75,-14135469.0,-1.26,-39137308.0,-3.49,36421149.0,3.25,16851626.0,1.5
21,002630,华西能源,2.61,-1.14,-53836277.0,-3.88,2449778.0,0.18,-56286055.0,-4.06,20267011.0,1.46,33569266.0,2.42
22,002366,融发核电,4.49,-2.81,-73705110.0,-6.35,-23700963.0,-2.04,-50004147.0,-4.31,21131287.0,1.82,52573824.0,4.53
23,601727,上海电气,4.2,-1.64,-77560968.0,-5.99,-50002524.0,-3.86,-27558444.0,-2.13,19732171.0,1.52,57828797.0,4.47
24,300870,欧陆通,44.02,-4.01,-84363118.0,-3.88,-25506042.0,-1.17,-58857076.0,-2.71,19291687.0,0.89,65071430.0,2.99
25,600875,东方电气,15.45,-2.83,-96607362.0,-3.63,-69186613.0,-2.6,-27420749.0,-1.03,22850864.0,0.86,73756498.0,2.77
26,301516,中远通,20.2,-11.94,-96611688.0,-5.09,-35230706.0,-1.86,-61380982.0,-3.24,-30461234.0,-1.61,127072921.0,6.7
27,300693,盛弘股份,29.75,-6.62,-149261119.0,-4.92,-75569945.0,-2.49,-73691174.0,-2.43,69657712.0,2.3,79603403.0,2.63
28,002518,科士达,23.4,-10.0,-169227921.0,-6.43,-62026444.0,-2.36,-107201477.0,-4.07,-1005687.0,-0.04,170233612.0,6.47
29,002335,科华数据,28.77,2.49,-250964558.0,-3.86,-152138943.0,-2.34,-98825615.0,-1.52,27414424.0,0.42,223550142.0,3.44
